request_id,arrive_time,rtl
314f71fe-b238-11ec-bfa6-085bd6625968,2,30
314f71ff-b238-11ec-b38e-085bd6625968,15,30
314f7200-b238-11ec-bc2e-085bd6625968,29,30
314f7201-b238-11ec-8454-085bd6625968,32,10
314f7202-b238-11ec-b56b-085bd6625968,45,10
314f7203-b238-11ec-9773-085bd6625968,47,10
314f7204-b238-11ec-b814-085bd6625968,55,10
314f7205-b238-11ec-ba46-085bd6625968,58,10
314f7206-b238-11ec-9266-085bd6625968,61,10
314f7207-b238-11ec-ba0a-085bd6625968,62,30
314f7208-b238-11ec-acda-085bd6625968,69,30
314f7209-b238-11ec-81d5-085bd6625968,74,10
314f720a-b238-11ec-bed3-085bd6625968,76,30
314f720b-b238-11ec-af2f-085bd6625968,78,30
314f720c-b238-11ec-b64c-085bd6625968,82,10
314f720d-b238-11ec-9a78-085bd6625968,84,10
314f720e-b238-11ec-b5d9-085bd6625968,86,10
314f720f-b238-11ec-806c-085bd6625968,89,10
314f7210-b238-11ec-8a4b-085bd6625968,94,10
314f7211-b238-11ec-830a-085bd6625968,97,30
314f7212-b238-11ec-ab14-085bd6625968,98,30
314f7213-b238-11ec-b986-085bd6625968,99,30
314f7214-b238-11ec-8797-085bd6625968,104,10
314f7215-b238-11ec-85e0-085bd6625968,105,30
314f7216-b238-11ec-ba5d-085bd6625968,106,30
314f7217-b238-11ec-91aa-085bd6625968,107,30
314f7218-b238-11ec-9966-085bd6625968,108,30
314f7219-b238-11ec-95e6-085bd6625968,112,30
314f721a-b238-11ec-b4d9-085bd6625968,116,10
314f721b-b238-11ec-b42d-085bd6625968,117,30
314f721c-b238-11ec-887c-085bd6625968,118,10
314f721d-b238-11ec-b601-085bd6625968,119,10
314f721e-b238-11ec-b971-085bd6625968,120,30
314f721f-b238-11ec-af4f-085bd6625968,122,30
314f7220-b238-11ec-9e8a-085bd6625968,123,10
314f7221-b238-11ec-847f-085bd6625968,124,10
314f7222-b238-11ec-9785-085bd6625968,126,30
314f7223-b238-11ec-b3c2-085bd6625968,128,30
314f7224-b238-11ec-971c-085bd6625968,132,10
314f7225-b238-11ec-b2dc-085bd6625968,134,30
314f7226-b238-11ec-a57a-085bd6625968,135,30
314f7227-b238-11ec-a8a1-085bd6625968,136,10
314f7228-b238-11ec-81e8-085bd6625968,138,30
314f7229-b238-11ec-bd0d-085bd6625968,139,30
314f722a-b238-11ec-994a-085bd6625968,142,10
314f722b-b238-11ec-bf81-085bd6625968,143,10
314f722c-b238-11ec-bfac-085bd6625968,145,10
314f722d-b238-11ec-889b-085bd6625968,146,30
314f722e-b238-11ec-abd6-085bd6625968,147,30
314f722f-b238-11ec-a145-085bd6625968,148,30
314f7230-b238-11ec-88d3-085bd6625968,149,10
314f7231-b238-11ec-935d-085bd6625968,150,30
314f7232-b238-11ec-9b6b-085bd6625968,152,30
314f7233-b238-11ec-8791-085bd6625968,153,10
314f7234-b238-11ec-ad0a-085bd6625968,154,30
314f7235-b238-11ec-b8b5-085bd6625968,156,10
314f7236-b238-11ec-a6b1-085bd6625968,157,30
314f7237-b238-11ec-b535-085bd6625968,159,30
314f7238-b238-11ec-877b-085bd6625968,160,30
314f7239-b238-11ec-8ab4-085bd6625968,161,10
314f723a-b238-11ec-83d0-085bd6625968,162,10
314f723b-b238-11ec-ab40-085bd6625968,165,30
314f723c-b238-11ec-8cb9-085bd6625968,166,10
314f723d-b238-11ec-8df1-085bd6625968,167,30
314f723e-b238-11ec-8099-085bd6625968,168,10
314f723f-b238-11ec-ad0f-085bd6625968,169,10
314f7240-b238-11ec-bb2d-085bd6625968,170,30
314f7241-b238-11ec-8964-085bd6625968,172,10
3151d490-b238-11ec-b70b-085bd6625968,173,30
3151d491-b238-11ec-8576-085bd6625968,174,30
3151d492-b238-11ec-b19d-085bd6625968,175,30
3151d493-b238-11ec-8607-085bd6625968,176,10
3151d494-b238-11ec-a9c2-085bd6625968,177,30
3151d495-b238-11ec-9416-085bd6625968,179,10
3151d496-b238-11ec-a1da-085bd6625968,180,10
3151d497-b238-11ec-8b11-085bd6625968,181,30
3151d498-b238-11ec-a203-085bd6625968,182,10
3151d499-b238-11ec-8a70-085bd6625968,183,10
3151d49a-b238-11ec-a3db-085bd6625968,185,30
3151d49b-b238-11ec-bcca-085bd6625968,186,10
3151d49c-b238-11ec-bd46-085bd6625968,187,30
3151d49d-b238-11ec-ab4d-085bd6625968,188,10
3151d49e-b238-11ec-b43f-085bd6625968,189,10
3151d49f-b238-11ec-ab06-085bd6625968,190,10
3151d4a0-b238-11ec-9915-085bd6625968,191,10
3151d4a1-b238-11ec-bd52-085bd6625968,192,10
3151d4a2-b238-11ec-946e-085bd6625968,193,30
3151d4a3-b238-11ec-a4d5-085bd6625968,194,30
3151d4a4-b238-11ec-9f0d-085bd6625968,196,10
3151d4a5-b238-11ec-a0e4-085bd6625968,197,10
3151d4a6-b238-11ec-b7aa-085bd6625968,198,30
3151d4a7-b238-11ec-a9f3-085bd6625968,199,30
3151d4a8-b238-11ec-843a-085bd6625968,200,30
3151d4a9-b238-11ec-a9d9-085bd6625968,201,30
3151d4aa-b238-11ec-96fb-085bd6625968,202,10
3151d4ab-b238-11ec-b952-085bd6625968,203,30
3151d4ac-b238-11ec-a1ac-085bd6625968,204,30
3151d4ad-b238-11ec-8a22-085bd6625968,205,30
3151d4ae-b238-11ec-b7de-085bd6625968,206,30
3151d4af-b238-11ec-acb2-085bd6625968,207,10
3151d4b0-b238-11ec-9258-085bd6625968,208,10
3151d4b1-b238-11ec-9501-085bd6625968,209,30
3151d4b2-b238-11ec-aca8-085bd6625968,210,30
3151d4b3-b238-11ec-9f9a-085bd6625968,211,30
3151d4b4-b238-11ec-9799-085bd6625968,212,10
3151d4b5-b238-11ec-aaf9-085bd6625968,213,10
3151d4b6-b238-11ec-96db-085bd6625968,214,10
3151d4b7-b238-11ec-bdaf-085bd6625968,215,10
3151d4b8-b238-11ec-b53a-085bd6625968,216,10
3151d4b9-b238-11ec-8cf8-085bd6625968,217,30
3151d4ba-b238-11ec-b434-085bd6625968,218,30
3151d4bb-b238-11ec-ae30-085bd6625968,219,30
3151d4bc-b238-11ec-bb8c-085bd6625968,220,10
3151d4bd-b238-11ec-b20d-085bd6625968,221,10
3151d4be-b238-11ec-83d0-085bd6625968,222,30
3151d4bf-b238-11ec-b97a-085bd6625968,223,10
3151d4c0-b238-11ec-8daa-085bd6625968,224,10
3151d4c1-b238-11ec-9e01-085bd6625968,225,30
3151d4c2-b238-11ec-8cf7-085bd6625968,225,30
3151d4c3-b238-11ec-8c36-085bd6625968,226,30
3151d4c4-b238-11ec-ba86-085bd6625968,227,30
3151d4c5-b238-11ec-af3e-085bd6625968,228,30
3151d4c6-b238-11ec-8e77-085bd6625968,229,30
3151d4c7-b238-11ec-97d0-085bd6625968,230,30
3151d4c8-b238-11ec-a9a1-085bd6625968,231,30
3151d4c9-b238-11ec-b4e7-085bd6625968,232,30
3151d4ca-b238-11ec-86b4-085bd6625968,233,30
3151d4cb-b238-11ec-965b-085bd6625968,234,10
3151d4cc-b238-11ec-ab17-085bd6625968,235,30
3151d4cd-b238-11ec-a1cc-085bd6625968,235,30
3151d4ce-b238-11ec-9d50-085bd6625968,236,30
3151d4cf-b238-11ec-ab89-085bd6625968,237,10
3151d4d0-b238-11ec-9813-085bd6625968,238,30
3151d4d1-b238-11ec-8aeb-085bd6625968,239,10
3151d4d2-b238-11ec-89c6-085bd6625968,240,10
3151d4d3-b238-11ec-96e9-085bd6625968,240,30
3151d4d4-b238-11ec-93b0-085bd6625968,241,10
3151d4d5-b238-11ec-953e-085bd6625968,242,10
3151d4d6-b238-11ec-b094-085bd6625968,243,10
3151d4d7-b238-11ec-9cfc-085bd6625968,243,10
3151d4d8-b238-11ec-9985-085bd6625968,244,30
3151d4d9-b238-11ec-b14f-085bd6625968,245,30
3151d4da-b238-11ec-9554-085bd6625968,246,10
3151d4db-b238-11ec-b64e-085bd6625968,247,10
3151d4dc-b238-11ec-a9a6-085bd6625968,248,10
3151d4dd-b238-11ec-a322-085bd6625968,249,10
3151d4de-b238-11ec-b398-085bd6625968,250,10
3151d4df-b238-11ec-8b2a-085bd6625968,251,30
3151d4e0-b238-11ec-b227-085bd6625968,251,30
3151d4e1-b238-11ec-aa2b-085bd6625968,252,30
3151d4e2-b238-11ec-a882-085bd6625968,253,30
3151d4e3-b238-11ec-bc93-085bd6625968,254,30
3151d4e4-b238-11ec-9327-085bd6625968,255,10
3151d4e5-b238-11ec-aa6e-085bd6625968,255,10
3151d4e6-b238-11ec-92c3-085bd6625968,256,30
3151d4e7-b238-11ec-8e2b-085bd6625968,257,30
3151d4e8-b238-11ec-a800-085bd6625968,258,10
3151d4e9-b238-11ec-bb91-085bd6625968,259,30
3151d4ea-b238-11ec-a562-085bd6625968,260,30
3151d4eb-b238-11ec-a648-085bd6625968,261,10
3151d4ec-b238-11ec-8f69-085bd6625968,261,10
3151d4ed-b238-11ec-ac11-085bd6625968,262,10
3151d4ee-b238-11ec-82b8-085bd6625968,263,30
3151d4ef-b238-11ec-8f13-085bd6625968,264,10
3151d4f0-b238-11ec-b616-085bd6625968,265,30
3151d4f1-b238-11ec-a53e-085bd6625968,265,30
3151d4f2-b238-11ec-ba51-085bd6625968,266,30
3151d4f3-b238-11ec-a0aa-085bd6625968,267,30
3151d4f4-b238-11ec-b9e8-085bd6625968,267,30
3151d4f5-b238-11ec-b32d-085bd6625968,268,30
3151d4f6-b238-11ec-8fd3-085bd6625968,269,10
3151d4f7-b238-11ec-9690-085bd6625968,270,30
3151d4f8-b238-11ec-8068-085bd6625968,271,10
3151d4f9-b238-11ec-b3ad-085bd6625968,271,30
3151d4fa-b238-11ec-ac2b-085bd6625968,272,10
3151d4fb-b238-11ec-85d9-085bd6625968,273,10
3151d4fc-b238-11ec-aa66-085bd6625968,274,10
3151d4fd-b238-11ec-9e91-085bd6625968,275,10
3151d4fe-b238-11ec-890d-085bd6625968,276,30
3151d4ff-b238-11ec-be9a-085bd6625968,277,10
3151d500-b238-11ec-83ca-085bd6625968,277,10
3151d501-b238-11ec-8037-085bd6625968,278,10
3151d502-b238-11ec-9e17-085bd6625968,279,30
3151d503-b238-11ec-94ff-085bd6625968,279,10
3151d504-b238-11ec-b6a0-085bd6625968,280,10
3151d505-b238-11ec-9fec-085bd6625968,280,30
3151d506-b238-11ec-9293-085bd6625968,281,30
3151d507-b238-11ec-a8ca-085bd6625968,281,10
3151d508-b238-11ec-8130-085bd6625968,282,30
3151d509-b238-11ec-a64b-085bd6625968,283,30
3151d50a-b238-11ec-8cec-085bd6625968,283,30
3151d50b-b238-11ec-af9c-085bd6625968,284,30
3151d50c-b238-11ec-aa10-085bd6625968,285,10
3151d50d-b238-11ec-b01a-085bd6625968,286,30
3151d50e-b238-11ec-8bba-085bd6625968,287,10
3151d50f-b238-11ec-a128-085bd6625968,288,30
3151d510-b238-11ec-b8e4-085bd6625968,288,10
3151d511-b238-11ec-bde8-085bd6625968,289,10
3151d512-b238-11ec-beb2-085bd6625968,290,10
3151d513-b238-11ec-b88f-085bd6625968,291,10
3151d514-b238-11ec-ada2-085bd6625968,292,30
3151d515-b238-11ec-b976-085bd6625968,293,30
3151d516-b238-11ec-87b6-085bd6625968,293,10
3151d517-b238-11ec-932d-085bd6625968,294,10
3151d518-b238-11ec-8eaa-085bd6625968,295,30
3151d519-b238-11ec-b2f3-085bd6625968,296,30
3151d51a-b238-11ec-b705-085bd6625968,296,10
3151d51b-b238-11ec-b76f-085bd6625968,297,10
3151d51c-b238-11ec-b6ad-085bd6625968,297,30
3151d51d-b238-11ec-99da-085bd6625968,298,30
3151d51e-b238-11ec-b10b-085bd6625968,298,30
3151d51f-b238-11ec-a941-085bd6625968,299,10
3151d520-b238-11ec-b745-085bd6625968,300,10
3151d521-b238-11ec-8040-085bd6625968,301,30
3151d522-b238-11ec-993b-085bd6625968,301,30
3151d523-b238-11ec-b5a2-085bd6625968,302,30
3151d524-b238-11ec-aedf-085bd6625968,303,10
3151d525-b238-11ec-b8ca-085bd6625968,303,30
3151d526-b238-11ec-9bca-085bd6625968,304,30
3151d527-b238-11ec-85e7-085bd6625968,304,30
3151d528-b238-11ec-b973-085bd6625968,305,30
3151d529-b238-11ec-80de-085bd6625968,306,30
3151d52a-b238-11ec-9481-085bd6625968,306,10
3151d52b-b238-11ec-999e-085bd6625968,307,30
3151d52c-b238-11ec-8652-085bd6625968,307,10
3151d52d-b238-11ec-8f2f-085bd6625968,308,10
3151d52e-b238-11ec-b8ac-085bd6625968,309,30
3151d52f-b238-11ec-823a-085bd6625968,310,10
3151d530-b238-11ec-8a33-085bd6625968,311,30
3151d531-b238-11ec-80e7-085bd6625968,311,30
3151d532-b238-11ec-9fcc-085bd6625968,312,30
3151d533-b238-11ec-8303-085bd6625968,312,10
3151d534-b238-11ec-9377-085bd6625968,313,30
3151d535-b238-11ec-ac28-085bd6625968,314,10
3151d536-b238-11ec-b9f5-085bd6625968,315,30
3151d537-b238-11ec-b668-085bd6625968,315,10
3151d538-b238-11ec-91bc-085bd6625968,316,10
3151d539-b238-11ec-8262-085bd6625968,317,30
3151d53a-b238-11ec-9157-085bd6625968,317,30
3151d53b-b238-11ec-aa43-085bd6625968,318,10
3151d53c-b238-11ec-bda7-085bd6625968,319,30
3151d53d-b238-11ec-bb0f-085bd6625968,319,10
3151d53e-b238-11ec-9741-085bd6625968,320,30
3151d53f-b238-11ec-b890-085bd6625968,320,30
3151d540-b238-11ec-86c0-085bd6625968,321,10
3151d541-b238-11ec-83be-085bd6625968,321,30
3151d542-b238-11ec-b799-085bd6625968,322,10
3151d543-b238-11ec-afe9-085bd6625968,323,10
3151d544-b238-11ec-b32e-085bd6625968,324,30
3151d545-b238-11ec-9e92-085bd6625968,324,30
3151d546-b238-11ec-9536-085bd6625968,325,30
3151d547-b238-11ec-b848-085bd6625968,325,10
3151d548-b238-11ec-848e-085bd6625968,326,30
3151d549-b238-11ec-abfd-085bd6625968,326,30
3151d54a-b238-11ec-95bc-085bd6625968,327,30
3151d54b-b238-11ec-9f87-085bd6625968,328,30
3151d54c-b238-11ec-baef-085bd6625968,328,10
3151d54d-b238-11ec-add6-085bd6625968,329,30
3151d54e-b238-11ec-8a48-085bd6625968,330,10
3151d54f-b238-11ec-a04f-085bd6625968,331,30
3151d550-b238-11ec-8705-085bd6625968,331,10
3151d551-b238-11ec-851a-085bd6625968,332,10
3151d552-b238-11ec-8383-085bd6625968,333,10
3151d553-b238-11ec-9e4f-085bd6625968,333,10
3151d554-b238-11ec-878a-085bd6625968,334,30
3151d555-b238-11ec-a4c0-085bd6625968,334,30
3151d556-b238-11ec-97fb-085bd6625968,335,10
3151d557-b238-11ec-9d30-085bd6625968,336,10
3151d558-b238-11ec-b920-085bd6625968,336,30
3151d559-b238-11ec-93ec-085bd6625968,337,30
3151d55a-b238-11ec-9974-085bd6625968,338,10
3151d55b-b238-11ec-b6b3-085bd6625968,338,10
3151d55c-b238-11ec-a190-085bd6625968,339,10
3151d55d-b238-11ec-bef1-085bd6625968,339,30
3151d55e-b238-11ec-af1f-085bd6625968,340,30
3151d55f-b238-11ec-b942-085bd6625968,340,30
3151d560-b238-11ec-8bad-085bd6625968,341,10
3151d561-b238-11ec-b5a0-085bd6625968,341,30
3151d562-b238-11ec-85a9-085bd6625968,342,10
3151d563-b238-11ec-91eb-085bd6625968,342,30
3151d564-b238-11ec-974f-085bd6625968,343,30
3151d565-b238-11ec-9587-085bd6625968,344,30
3151d566-b238-11ec-9590-085bd6625968,344,30
3151d567-b238-11ec-ac2b-085bd6625968,345,30
3151d568-b238-11ec-a9be-085bd6625968,346,30
3151d569-b238-11ec-bced-085bd6625968,347,30
