request_id,arrive_time,rtl
072a562a-ba3f-11ec-ad40-085bd662596b,0,1
072a562b-ba3f-11ec-aaa1-085bd662596b,0,1
072a562c-ba3f-11ec-b237-085bd662596b,0,1
072a562d-ba3f-11ec-88fc-085bd662596b,0,1
072a562e-ba3f-11ec-811b-085bd662596b,0,3
072a562f-ba3f-11ec-98af-085bd662596b,0,1
072a5630-ba3f-11ec-a71b-085bd662596b,0,1
072a5631-ba3f-11ec-b260-085bd662596b,0,1
072a5632-ba3f-11ec-961f-085bd662596b,0,1
072a5633-ba3f-11ec-9ad7-085bd662596b,1,3
072a5634-ba3f-11ec-ae72-085bd662596b,1,1
072a5635-ba3f-11ec-9b47-085bd662596b,1,1
072a5636-ba3f-11ec-aa8c-085bd662596b,1,1
072a5637-ba3f-11ec-bbce-085bd662596b,1,1
072a5638-ba3f-11ec-b351-085bd662596b,1,1
072a5639-ba3f-11ec-98de-085bd662596b,1,3
072a7d19-ba3f-11ec-bb36-085bd662596b,1,3
072a7d1a-ba3f-11ec-a63e-085bd662596b,1,3
072a7d1b-ba3f-11ec-a7da-085bd662596b,2,1
072a7d1c-ba3f-11ec-88e7-085bd662596b,2,1
072a7d1d-ba3f-11ec-81c0-085bd662596b,2,1
072a7d1e-ba3f-11ec-9c4a-085bd662596b,2,1
072a7d1f-ba3f-11ec-95d9-085bd662596b,2,1
072a7d20-ba3f-11ec-8b7b-085bd662596b,2,3
072a7d21-ba3f-11ec-9da8-085bd662596b,2,1
072a7d22-ba3f-11ec-bde0-085bd662596b,2,1
072a7d23-ba3f-11ec-96cd-085bd662596b,2,1
072a7d24-ba3f-11ec-984c-085bd662596b,3,3
072a7d25-ba3f-11ec-9a5c-085bd662596b,3,3
072a7d26-ba3f-11ec-bede-085bd662596b,3,1
072a7d27-ba3f-11ec-b151-085bd662596b,3,1
072a7d28-ba3f-11ec-a3de-085bd662596b,3,3
072a7d29-ba3f-11ec-b643-085bd662596b,3,3
072a7d2a-ba3f-11ec-bb8a-085bd662596b,3,3
072a7d2b-ba3f-11ec-a12f-085bd662596b,3,1
072a7d2c-ba3f-11ec-a71d-085bd662596b,3,1
072a7d2d-ba3f-11ec-9c73-085bd662596b,4,3
072a7d2e-ba3f-11ec-b0f8-085bd662596b,4,1
072a7d2f-ba3f-11ec-bf7e-085bd662596b,4,3
072a7d30-ba3f-11ec-80cb-085bd662596b,4,3
072a7d31-ba3f-11ec-aebd-085bd662596b,4,1
072a7d32-ba3f-11ec-909e-085bd662596b,4,1
072a7d33-ba3f-11ec-a462-085bd662596b,4,1
072a7d34-ba3f-11ec-8d50-085bd662596b,4,1
072a7d35-ba3f-11ec-b4f1-085bd662596b,4,3
072a7d36-ba3f-11ec-863c-085bd662596b,4,1
072a7d37-ba3f-11ec-b567-085bd662596b,5,1
072a7d38-ba3f-11ec-9b4f-085bd662596b,5,3
072a7d39-ba3f-11ec-83e4-085bd662596b,5,1
072a7d3a-ba3f-11ec-a771-085bd662596b,5,1
072a7d3b-ba3f-11ec-8355-085bd662596b,5,1
072a7d3c-ba3f-11ec-8c09-085bd662596b,5,1
072a7d3d-ba3f-11ec-995d-085bd662596b,5,1
072a7d3e-ba3f-11ec-a500-085bd662596b,5,3
072a7d3f-ba3f-11ec-9bac-085bd662596b,5,1
072a7d40-ba3f-11ec-9621-085bd662596b,5,3
072a7d41-ba3f-11ec-aabd-085bd662596b,6,3
072a7d42-ba3f-11ec-bcc0-085bd662596b,6,3
072a7d43-ba3f-11ec-aa60-085bd662596b,6,3
072a7d44-ba3f-11ec-90b9-085bd662596b,6,1
072a7d45-ba3f-11ec-9e7b-085bd662596b,6,1
072a7d46-ba3f-11ec-b805-085bd662596b,6,1
072aa484-ba3f-11ec-a843-085bd662596b,6,3
072aa485-ba3f-11ec-a242-085bd662596b,6,1
072aa486-ba3f-11ec-ba7b-085bd662596b,6,1
072aa487-ba3f-11ec-a756-085bd662596b,7,3
072aa488-ba3f-11ec-aa9f-085bd662596b,7,1
072aa489-ba3f-11ec-9934-085bd662596b,7,3
072aa48a-ba3f-11ec-87d5-085bd662596b,7,3
072aa48b-ba3f-11ec-be77-085bd662596b,7,3
072aa48c-ba3f-11ec-b5be-085bd662596b,7,3
072aa48d-ba3f-11ec-8500-085bd662596b,7,3
072aa48e-ba3f-11ec-9049-085bd662596b,7,3
072aa48f-ba3f-11ec-9976-085bd662596b,7,3
072aa490-ba3f-11ec-883f-085bd662596b,8,1
072aa491-ba3f-11ec-8926-085bd662596b,8,1
072aa492-ba3f-11ec-a70d-085bd662596b,8,1
072aa493-ba3f-11ec-9c7f-085bd662596b,8,1
072aa494-ba3f-11ec-b136-085bd662596b,8,3
072aa495-ba3f-11ec-986d-085bd662596b,8,1
072aa496-ba3f-11ec-901b-085bd662596b,8,3
072aa497-ba3f-11ec-ae08-085bd662596b,8,1
072aa498-ba3f-11ec-9d8b-085bd662596b,8,1
072aa499-ba3f-11ec-8b32-085bd662596b,9,3
072aa49a-ba3f-11ec-95f0-085bd662596b,9,3
072aa49b-ba3f-11ec-ac28-085bd662596b,9,1
072aa49c-ba3f-11ec-8807-085bd662596b,9,1
072aa49d-ba3f-11ec-b021-085bd662596b,9,1
072aa49e-ba3f-11ec-9718-085bd662596b,9,3
072aa49f-ba3f-11ec-b97e-085bd662596b,9,3
072aa4a0-ba3f-11ec-bd52-085bd662596b,9,3
072aa4a1-ba3f-11ec-aed1-085bd662596b,9,3
072aa4a2-ba3f-11ec-8648-085bd662596b,10,1
072aa4a3-ba3f-11ec-a9e2-085bd662596b,10,3
072aa4a4-ba3f-11ec-b375-085bd662596b,10,3
072aa4a5-ba3f-11ec-8f2b-085bd662596b,10,3
072aa4a6-ba3f-11ec-9e4d-085bd662596b,10,3
072aa4a7-ba3f-11ec-9655-085bd662596b,10,1
072aa4a8-ba3f-11ec-92da-085bd662596b,10,1
072aa4a9-ba3f-11ec-9d27-085bd662596b,10,1
